game_index,ply,side,san,uci,top1_uci,top1_prob,top2_uci,top2_prob,top3_uci,top3_prob
3,8,B,d5,d7d5,,,,,,
3,9,W,exd5,e4d5,e4d5,0.1414141414141414,h1g1,0.13131313131313133,h3g1,0.06060606060606061
3,10,B,Bxg4,c8g4,,,,,,
3,11,W,Qxg4,d1g4,d1g4,0.23232323232323232,c2c3,0.1111111111111111,h1g1,0.0707070707070707
3,12,B,Nxg4,f6g4,,,,,,
3,13,W,Bb5+,f1b5,f1b5,0.08080808080808081,h1g1,0.0707070707070707,c1a3,0.0707070707070707
3,14,B,c6,c7c6,,,,,,
3,15,W,Bxc6+,b5c6,b5c6,0.15151515151515152,b5f1,0.06060606060606061,b5a6,0.050505050505050504
3,16,B,bxc6,b7c6,,,,,,
3,17,W,Rf1,h1f1,h1f1,0.7373737373737373,e1d1,0.0707070707070707,h3g5,0.010101010101010102
3,18,B,Nxh2,g4h2,,,,,,
3,19,W,f3,f2f3,f2f3,0.8181818181818182,h3g5,0.010101010101010102,h3f4,0.010101010101010102
3,20,B,Qh4+,d8h4,,,,,,
3,21,W,Kd1,e1d1,e1d1,0.494949494949495,h3f2,0.3434343434343434,f1f2,0.16161616161616163
3,22,B,Qxh3,h4h3,,,,,,
3,23,W,c3,c2c3,c2c3,0.8181818181818182,f1f2,0.010101010101010102,f1h1,0.010101010101010102
3,24,B,Qxf1+,h3f1,,,,,,
3,25,W,Kc2,d1c2,d1c2,1.0,,,,
3,26,B,Qg2,f1g2,,,,,,
3,27,W,Kd1,c2d1,c2d1,0.8686868686868687,c2d3,0.010101010101010102,c2b3,0.010101010101010102
3,28,B,Nxf3,h2f3,,,,,,
3,29,W,Na3,b1a3,b1a3,0.8888888888888888,d1c2,0.010101010101010102,c1a3,0.010101010101010102
3,30,B,Qh1+,g2h1,,,,,,
3,31,W,Ke2,d1e2,d1e2,0.5454545454545454,d1c2,0.45454545454545453,,
3,32,B,Qh2+,h1h2,,,,,,
3,33,W,Ke3,e2e3,e2e3,0.6363636363636364,e2d1,0.3333333333333333,e2f3,0.010101010101010102
3,34,B,Qg2,h2g2,,,,,,
3,35,W,Nb1,a3b1,a3b1,0.8686868686868687,e3e4,0.010101010101010102,e3d3,0.010101010101010102
3,36,B,cxd5,c6d5,,,,,,
3,37,W,c4,c3c4,c3c4,0.6666666666666666,e3d3,0.26262626262626265,c1a3,0.010101010101010102
3,38,B,d4+,d5d4,,,,,,
3,39,W,Ke4,e3e4,e3e4,0.98989898989899,e3d3,0.010101010101010102,,
3,40,B,f5+,f7f5,,,,,,
3,41,W,Kd5,e4d5,e4d5,0.98989898989899,e4d3,0.010101010101010102,e4f5,0.0
3,42,B,Ng5+,f3g5,,,,,,
3,43,W,Kxe5,d5e5,d5e5,1.0,,,,
3,44,B,Qe4#,g2e4,,,,,,
4,1,W,d3,d2d3,d2d3,0.15151515151515152,b1c3,0.1414141414141414,b1a3,0.13131313131313133
4,2,B,d5,d7d5,,,,,,
4,3,W,a3,a2a3,a2a3,0.2828282828282828,b1a3,0.1919191919191919,g2g3,0.1919191919191919
4,4,B,Nf6,g8f6,,,,,,
4,5,W,Bh6,c1h6,c1h6,0.40404040404040403,g2g3,0.25252525252525254,e1d2,0.1414141414141414
4,6,B,gxh6,g7h6,,,,,,
4,7,W,g3,g2g3,g2g3,0.3939393939393939,b2b3,0.25252525252525254,e1d2,0.1717171717171717
4,8,B,Bg7,f8g7,,,,,,
4,9,W,b3,b2b3,b2b3,0.43434343434343436,e1d2,0.32323232323232326,c2c4,0.04040404040404041
4,10,B,a6,a7a6,,,,,,
4,11,W,e3,e2e3,e2e3,0.4444444444444444,e1d2,0.2222222222222222,h2h3,0.1414141414141414
4,12,B,c5,c7c5,,,,,,
4,13,W,c4,c2c4,c2c4,0.3939393939393939,e1d2,0.24242424242424243,h2h3,0.1111111111111111
4,14,B,Bg4,c8g4,,,,,,
4,15,W,Bg2,f1g2,f1g2,0.1717171717171717,h2h4,0.1717171717171717,d1f3,0.16161616161616163
4,16,B,e6,e7e6,,,,,,
4,17,W,h4,h2h4,h2h4,0.21212121212121213,e1d2,0.1919191919191919,g2f3,0.1717171717171717
4,18,B,Bxd1,g4d1,,,,,,
4,19,W,d4,d3d4,d3d4,0.25252525252525254,h4h5,0.24242424242424243,g2f3,0.20202020202020202
4,20,B,cxd4,c5d4,,,,,,
4,21,W,h5,h4h5,h4h5,0.5757575757575758,g2f3,0.18181818181818182,g2d5,0.010101010101010102
4,22,B,Bxh5,d1h5,,,,,,
4,23,W,Rh4,h1h4,h1h4,0.7373737373737373,g2f1,0.020202020202020204,g2d5,0.010101010101010102
4,24,B,dxe3,d4e3,,,,,,
4,25,W,Rh1,h4h1,h4h1,0.7171717171717171,h4h5,0.010101010101010102,h4g4,0.010101010101010102
4,26,B,exf2+,e3f2,,,,,,
4,27,W,Kd2,e1d2,e1d2,0.5252525252525253,e1f1,0.46464646464646464,e1f2,0.010101010101010102
4,28,B,dxc4+,d5c4,,,,,,
4,29,W,Bd5,g2d5,g2d5,0.47474747474747475,d2c2,0.35353535353535354,d2e3,0.15151515151515152
4,30,B,Qxd5+,d8d5,,,,,,
4,31,W,Kc2,d2c2,d2c2,0.5656565656565656,d2e3,0.41414141414141414,d2c3,0.010101010101010102
4,32,B,Qd3+,d5d3,,,,,,
4,33,W,Kb2,c2b2,c2b2,1.0,c2c1,0.0,,
4,34,B,Ne4+,f6e4,,,,,,
4,35,W,Nc3,b1c3,b1c3,0.40404040404040403,b2a2,0.3333333333333333,b2c1,0.26262626262626265
4,36,B,Qd2+,d3d2,,,,,,
4,37,W,Kb1,b2b1,b2b1,1.0,,,,
4,38,B,Nxc3#,e4c3,,,,,,
5,1,W,e4,e2e4,e2e4,0.3838383838383838,b2b4,0.20202020202020202,b2b3,0.09090909090909091
5,2,B,e5,e7e5,,,,,,
5,3,W,Qg4,d1g4,d1g4,0.3939393939393939,d1f3,0.37373737373737376,d1e2,0.020202020202020204
5,4,B,Nf6,g8f6,,,,,,
